ads_txt_line,ad_system,seller_id,relationship,cert_authority_id,sellers_json_found,seller_type,seller_name,seller_domain
1140,google.com,pub-5533854580432370,RESELLER,f08c47fec0942fa0,YES,BOTH,DIGITAL REVENUE LLC,revloq.com
1141,google.com,pub-5544963362143736,RESELLER,,NO,,,
1142,google.com,pub-5617098146054077,RESELLER,f08c47fec0942fa0,NO,,,
1143,google.com,pub-5717092533913515,RESELLER,f08c47fec0942fa0,YES,BOTH,"Gannett Co., Inc. DBA Gannett Media Corp.",gannett.com
1144,google.com,pub-5746030484598936,RESELLER,,YES,BOTH,Planet Sport Limited,planetsport.com
1145,google.com,pub-5897179876377792,RESELLER,f08c47fec0942fa0,YES,BOTH,株式会社ジーニー,genieesspv.jp
1146,google.com,pub-5898576126922512,DIRECT,f08c47fec0942fa0,YES,PUBLISHER,,
1147,google.com,pub-5995202563537249,RESELLER,f08c47fec0942fa0,NO,,,
1148,google.com,pub-6070398767421094,RESELLER,f08c47fec0942fa0,YES,BOTH,Mediology Software Private Limited,rwadx.com
1149,google.com,pub-6110672335579159,RESELLER,f08c47fec0942fa0,NO,,,
1150,google.com,pub-6322541192886560,RESELLER,f08c47fec0942fa0,YES,BOTH,Yediot Internet,truvid.com
1151,google.com,pub-6331119926849614,RESELLER,,NO,,,
1152,google.com,pub-6346866704322274,RESELLER,f08c47fec0942fa0,YES,BOTH,Aniview,aniview.com
1153,google.com,pub-6373315980741255,RESELLER,f08c47fec0942fa0,YES,PUBLISHER,Thriving Plus LLC,
1154,google.com,pub-6479999173277695,RESELLER,f08c47fec0942fa0,YES,BOTH,Hindsight Technology Solutions Inc,lhkmedia.io
1155,google.com,pub-6582910611188121,RESELLER,f08c47fec0942fa0,YES,BOTH,Geniee - 2,adpushup.com
1156,google.com,pub-6588918837029453,RESELLER,,NO,,,
1157,google.com,pub-6694481294649483,RESELLER,f08c47fec0942fa0,YES,BOTH,"Consumable, inc.",consumable.com
1158,google.com,pub-6726631800845520,RESELLER,f08c47fec0942fa0,YES,BOTH,DormKnight Pte. Ltd.,gliacloud.com
1159,google.com,pub-6733417337840393,RESELLER,f08c47fec0942fa0,NO,,,
1160,google.com,pub-6902591662237607,RESELLER,,NO,,,
1161,google.com,pub-6982872722536698,DIRECT,f08c47fec0942fa0,YES,PUBLISHER,,
1162,google.com,pub-7019376976432612,RESELLER,,YES,BOTH,Dailymotion Advertising,nsightvideo.com
1163,google.com,pub-7019376976432612,RESELLER,f08c47fec0942fa0,YES,BOTH,Dailymotion Advertising,nsightvideo.com
1164,google.com,pub-7079691902491759,RESELLER,f08c47fec0942fa0,NO,,,
1165,google.com,pub-7094677798399606,RESELLER,f08c47fec0942fa0,YES,BOTH,Zero1 Inc,atlas5.co
1166,google.com,pub-7171208642811509,RESELLER,f08c47fec0942fa0,NO,,,
1167,google.com,pub-7214269347534569,DIRECT,f08c47fec0942fa0,YES,BOTH,TUBIA FZCO,gitberry.com
1168,google.com,pub-7269238500499280,RESELLER,f08c47fec0942fa0,YES,BOTH,Next Millennium,nextmillennium.io
1169,google.com,pub-7279729872265667,RESELLER,f08c47fec0942fa0,YES,BOTH,"Niche Classified Media, LLC",publiffy.com
1170,google.com,pub-7310785613215102,DIRECT,f08c47fec0942fa0,NO,,,
1171,google.com,pub-7439041255533808,RESELLER,f08c47fec0942fa0,YES,BOTH,Media.Net Advertising FZ-LLC,media.net
1172,google.com,pub-7538555282033458,RESELLER,f08c47fec0942fa0,YES,BOTH,ShowHeroes S.r.l a socio unico,viralize.com
1173,google.com,pub-7620071422727774,RESELLER,f08c47fec0942fa0,NO,,,
1174,google.com,pub-7656528024992436,RESELLER,,NO,,,
1175,google.com,pub-7793214749664532,DIRECT,,NO,,,
1176,google.com,pub-7858377917172490,RESELLER,f08c47fec0942fa0,NO,,,
1177,google.com,pub-7945044863874787,RESELLER,f08c47fec0942fa0,YES,BOTH,Geniee International Pte.Ltd.,genieegroup.com
1178,google.com,pub-7962068400262135,RESELLER,,NO,,,
1179,google.com,pub-7972728500229907,DIRECT,f08c47fec0942fa0,NO,,,
1180,google.com,pub-7995104076770938,DIRECT,f08c47fec0942fa0,YES,BOTH,"H Code Media, Inc.",hcodemedia.com
1181,google.com,pub-7995104076770938,RESELLER,f08c47fec0942fa0,YES,BOTH,"H Code Media, Inc.",hcodemedia.com
1182,google.com,pub-8021452534523035,RESELLER,,NO,,,
1183,google.com,pub-8140320482533913,RESELLER,f08c47fec0942fa0,NO,,,
1184,google.com,pub-8172268348509349,RESELLER,f08c47fec0942fa0,NO,,,
1185,google.com,pub-8221793852898543,RESELLER,f08c47fec0942fa0,YES,BOTH,"VLN Servicios Publicitarios Integrales, SL DBA SunMedia",sunmedia.tv
1186,google.com,pub-8241049497608997,RESELLER,f08c47fec0942fa0,YES,BOTH,Yieldbird Sp. z o.o.,yieldbird.com
1187,google.com,pub-8278416939377896,DIRECT,f08c47fec0942fa0,YES,PUBLISHER,152 Media,
1188,google.com,pub-8278416939377896,RESELLER,f08c47fec0942fa0,YES,PUBLISHER,152 Media,
1189,google.com,pub-8309773808661346,RESELLER,f08c47fec0942fa0,YES,BOTH,"WMG INTERNATIONAL, INC.",adwmg.com
1190,google.com,pub-8376169300140203,RESELLER,f08c47fec0942fa0,NO,,,
1191,google.com,pub-8415754845210549,RESELLER,f08c47fec0942fa0,NO,,,
1192,google.com,pub-8434185908489285,DIRECT,,NO,,,
1193,google.com,pub-8469965667274063,RESELLER,f08c47fec0942fa0,NO,,,
1194,google.com,pub-8536066741654249,RESELLER,f08c47fec0942fa0,NO,,,
1195,google.com,pub-8584156348842922,RESELLER,f08c47fec0942fa0,YES,BOTH,ADSOLUT TECHNOLOGY SERVICES L.L.C,adsolut.in
1196,google.com,pub-8586265011624107,RESELLER,f08c47fec0942fa0,NO,,,
1197,google.com,pub-8600492219386651,DIRECT,f08c47fec0942fa0,NO,,,
1198,google.com,pub-8622186303703569,DIRECT,f08c47fec0942fa0,NO,,,
1199,google.com,pub-8622186303703569,RESELLER,f08c47fec0942fa0,NO,,,
1200,google.com,pub-8655001720710332,RESELLER,f08c47fec0942fa0,NO,,,
1201,google.com,pub-8787923930478618,RESELLER,f08c47fec0942fa0,YES,BOTH,Truvid Inc,truvid.com
1202,google.com,pub-8856559311549217,DIRECT,f08c47fec0942fa0,YES,BOTH,Datawrkz Pte Ltd,datawrkz.com
1203,google.com,pub-8863191426564274,RESELLER,f08c47fec0942fa0,YES,BOTH,Vidgyor Media Technologies Pvt. Ltd.,vidgyor.com
1204,google.com,pub-8871336478836087,RESELLER,,NO,,,
1205,google.com,pub-8933329999391104,RESELLER,f08c47fec0942fa0,YES,BOTH,Adpushup Inc.,adpushup.com
1206,google.com,pub-8958360472852017,RESELLER,,NO,,,
1207,google.com,pub-9042063282075774,DIRECT,f08c47fec0942fa0,YES,BOTH,Kiosked Information System LTD,kiosked.com
1208,google.com,pub-9042063282075774,RESELLER,f08c47fec0942fa0,YES,BOTH,Kiosked Information System LTD,kiosked.com
1209,google.com,pub-9058291854443881,RESELLER,f08c47fec0942fa0,YES,BOTH,AnyMind Group Pte Ltd,anymanager.io
